"stockcode","tradingdate","openprice","closeprice","highestprice","lowestprice","totalvol"
"ACB","2015-01-05","2311.91861213981534200000000","2297.20449186512370000000000","2312.21890030868660000000000","2282.19008342156080000000000","55888"
"ACB","2015-01-06","2282.03993933712517100000000","2327.23330875224950000000000","2327.23330875224950000000000","2267.17567497799790000000000","89802"
"ACB","2015-01-07","2327.08316466781387100000000","2357.26212563937530000000000","2402.30535097006400000000000","2327.23330875224950000000000","232861"
"ACB","2015-01-08","2357.11198155493967100000000","2372.27653408293820000000000","2372.27653408293820000000000","2342.24771719581240000000000","14880"
"ACB","2015-01-09","2371.97624591406694200000000","2387.29094252650110000000000","2447.34857630075270000000000","2342.24771719581240000000000","693623"
"ACB","2015-01-12","2402.15520688562837100000000","2417.31975941362690000000000","2462.36298474431560000000000","2387.29094252650110000000000","368334"
"ACB","2015-01-13","2417.16961532919127100000000","2477.37739318787850000000000","2507.40621007500430000000000","2417.31975941362690000000000","416006"
"ACB","2015-01-14","2477.22724910344287100000000","2432.33416785718980000000000","2477.37739318787850000000000","2417.31975941362690000000000","300420"
"ACB","2015-01-15","2417.16961532919127100000000","2387.29094252650110000000000","2432.33416785718980000000000","2387.29094252650110000000000","244964"
"ACB","2015-01-16","2402.15520688562837100000000","2387.29094252650110000000000","2417.31975941362690000000000","2357.26212563937530000000000","374204"
"ACB","2015-01-19","2417.16961532919127100000000","2417.31975941362690000000000","2432.33416785718980000000000","2402.30535097006400000000000","230317"
"ACB","2015-01-20","2402.15520688562837100000000","2402.30535097006400000000000","2417.31975941362690000000000","2372.27653408293820000000000","75172"
"ACB","2015-01-21","2402.15520688562837100000000","2387.29094252650110000000000","2417.31975941362690000000000","2372.27653408293820000000000","205371"
"ACB","2015-01-22","2386.99065435762984200000000","2447.34857630075270000000000","2447.34857630075270000000000","2372.27653408293820000000000","300965"
"ACB","2015-01-23","2432.18402377275417100000000","2567.46384384925590000000000","2582.47825229281880000000000","2432.33416785718980000000000","1441874"
"ACB","2015-01-26","2567.31369976482027100000000","2582.47825229281880000000000","2597.49266073638170000000000","2567.46384384925590000000000","307006"
"ACB","2015-01-27","2597.19237256751044200000000","2582.47825229281880000000000","2612.50706917994460000000000","2477.37739318787850000000000","315651"
"ACB","2015-01-28","2567.31369976482027100000000","2702.59351984132200000000000","2732.62233672844780000000000","2537.43502696213010000000000","959871"
"ACB","2015-01-29","2702.29323167245074200000000","2657.55029451063330000000000","2717.60792828488490000000000","2657.55029451063330000000000","429009"
"ACB","2015-01-30","2642.38574198263477100000000","2582.47825229281880000000000","2642.53588606707040000000000","2537.43502696213010000000000","478259"
"ACB","2015-02-02","2567.31369976482027100000000","2522.42061851856720000000000","2597.49266073638170000000000","2522.42061851856720000000000","265344"
"ACB","2015-02-03","2522.12033034969594200000000","2387.29094252650110000000000","2537.43502696213010000000000","2387.29094252650110000000000","827865"
"ACB","2015-02-04","2371.97624591406694200000000","2417.31975941362690000000000","2417.31975941362690000000000","2342.24771719581240000000000","270500"
"ACB","2015-02-05","2417.16961532919127100000000","2417.31975941362690000000000","2462.36298474431560000000000","2417.31975941362690000000000","74461"
"ACB","2015-02-06","2417.16961532919127100000000","2462.36298474431560000000000","2462.36298474431560000000000","2237.14685809087210000000000","245283"
"ACB","2015-02-09","2462.06269657544434200000000","2417.31975941362690000000000","2492.39180163144140000000000","2417.31975941362690000000000","72974"
"ACB","2015-02-10","2402.15520688562837100000000","2432.33416785718980000000000","2462.36298474431560000000000","2402.30535097006400000000000","105679"
"ACB","2015-02-11","2432.18402377275417100000000","2462.36298474431560000000000","2477.37739318787850000000000","2432.33416785718980000000000","90914"
"ACB","2015-02-12","2462.06269657544434200000000","2462.36298474431560000000000","2477.37739318787850000000000","2447.34857630075270000000000","87911"
"ACB","2015-02-13","2477.22724910344287100000000","2522.42061851856720000000000","2567.46384384925590000000000","2477.37739318787850000000000","650359"
"ACB","2015-02-24","2537.13473879325884200000000","2567.46384384925590000000000","2597.49266073638170000000000","2537.43502696213010000000000","140871"
"ACB","2015-02-25","2582.32810820838317100000000","2597.49266073638170000000000","2657.55029451063330000000000","2567.46384384925590000000000","672279"
"ACB","2015-02-26","2597.19237256751044200000000","2597.49266073638170000000000","2612.50706917994460000000000","2552.44943540569300000000000","112327"
