date,signal,gain_loss_pct
2019-01-04,Buy,
2019-05-07,Sell,15.6
2019-06-10,Buy,
2019-08-02,Sell,3.8
2019-08-13,Buy,
2019-10-01,Cash,-1.4
2019-10-11,Buy,
2019-12-02,Sell,10.2
2020-01-06,Buy,
2020-02-25,Sell,-3.1
2020-03-02,Buy,
2020-03-04,Cash,-2.8
2020-03-12,Sell,
2020-04-06,Buy,
2020-04-21,Cash,5.4
2020-05-18,Buy,
2020-06-11,Cash,4.2
2020-06-15,Buy,
2020-09-03,Sell,22.1
2020-10-12,Buy,
2020-10-28,Cash,-0.9
2020-11-04,Buy,
2021-02-16,Sell,14.3
2021-03-05,Buy,
2021-05-10,Cash,2.1
2021-05-19,Buy,
2021-09-17,Sell,8.7
2021-10-14,Buy,
2021-11-19,Cash,1.8
2021-12-01,Buy,
2022-01-05,Sell,-3.2
2022-01-18,Cash,
2022-03-16,Buy,
2022-04-06,Sell,-4.5
2022-05-04,Buy,
2022-05-09,Cash,-2.1
2022-06-02,Sell,
2022-08-10,Buy,
2022-08-26,Cash,-3.6
2022-09-06,Sell,
2022-10-21,Buy,
2022-12-15,Cash,-1.5
2023-01-06,Buy,
2023-02-09,Cash,5.8
2023-02-14,Buy,
2023-03-08,Cash,-1.2
2023-03-29,Buy,
2023-06-26,Sell,14.7
2023-07-10,Buy,
2023-08-02,Cash,3.1
2023-08-29,Buy,
2023-10-20,Sell,-2.8
2023-10-30,Cash,
2023-11-02,Buy,
2024-01-17,Sell,11.4
2024-02-05,Buy,
2024-04-15,Cash,7.9
2024-04-22,Sell,
2024-05-06,Buy,
2024-07-11,Cash,9.3
2024-07-16,Buy,
2024-07-24,Sell,-2.1
2024-08-13,Buy,
2024-09-06,Cash,3.5
2024-09-17,Buy,
2024-10-31,Sell,6.4
2024-11-06,Buy,
