date,signal,gain_loss_pct
2019-01-04,Buy,
2019-05-07,Sell,38.2
2019-06-10,Buy,
2019-08-02,Sell,10.5
2019-08-13,Buy,
2019-10-01,Cash,-3.2
2019-10-11,Buy,
2019-12-02,Sell,25.7
2020-01-06,Buy,
2020-02-25,Sell,-8.4
2020-03-02,Buy,
2020-03-04,Cash,-5.1
2020-03-12,Sell,
2020-04-06,Buy,
2020-04-21,Cash,12.3
2020-05-18,Buy,
2020-06-11,Cash,8.7
2020-06-15,Buy,
2020-09-03,Sell,45.2
2020-10-12,Buy,
2020-10-28,Cash,-2.1
2020-11-04,Buy,
2021-02-16,Sell,32.8
2021-03-05,Buy,
2021-05-10,Cash,5.4
2021-05-19,Buy,
2021-09-17,Sell,18.6
2021-10-14,Buy,
2021-11-19,Cash,4.2
2021-12-01,Buy,
2022-01-05,Sell,-6.3
2022-01-18,Cash,
2022-03-16,Buy,
2022-04-06,Sell,-8.9
2022-05-04,Buy,
2022-05-09,Cash,-4.2
2022-06-02,Sell,
2022-08-10,Buy,
2022-08-26,Cash,-7.1
2022-09-06,Sell,
2022-10-21,Buy,
2022-12-15,Cash,-3.8
2023-01-06,Buy,
2023-02-09,Cash,11.2
2023-02-14,Buy,
2023-03-08,Cash,-2.5
2023-03-29,Buy,
2023-06-26,Sell,28.4
2023-07-10,Buy,
2023-08-02,Cash,6.1
2023-08-29,Buy,
2023-10-20,Sell,-5.7
2023-10-30,Cash,
2023-11-02,Buy,
2024-01-17,Sell,22.3
2024-02-05,Buy,
2024-04-15,Cash,15.8
2024-04-22,Sell,
2024-05-06,Buy,
2024-07-11,Cash,18.2
2024-07-16,Buy,
2024-07-24,Sell,-4.6
2024-08-13,Buy,
2024-09-06,Cash,7.3
2024-09-17,Buy,
2024-10-31,Sell,12.9
2024-11-06,Buy,
