tradingdate,stockcode,openindex,closeindex,lowestindex,highestindex,totalvol
"""2024-08-09T00:00:00.000Z""",VNINDEX,1215.30,1223.64,1212.40,1225.02,544376064.00
"""2024-08-12T00:00:00.000Z""",VNINDEX,1225.95,1230.28,1221.16,1231.46,494611904.00
"""2024-08-13T00:00:00.000Z""",VNINDEX,1229.81,1230.42,1223.01,1231.55,488342080.00
"""2024-08-14T00:00:00.000Z""",VNINDEX,1233.70,1230.36,1228.93,1236.51,443199072.00
"""2014-09-09T00:00:00.000Z""",VNINDEX,640.50,626.92,622.76,641.20,280299892.00
"""2014-09-10T00:00:00.000Z""",VNINDEX,625.59,628.80,618.54,630.03,141622120.00
"""2014-09-11T00:00:00.000Z""",VNINDEX,629.77,628.99,626.26,633.60,129414618.00
"""2014-09-12T00:00:00.000Z""",VNINDEX,631.31,632.50,627.42,632.91,144087285.00
"""2014-09-15T00:00:00.000Z""",VNINDEX,633.86,630.34,630.34,636.65,212383873.00
"""2014-09-16T00:00:00.000Z""",VNINDEX,628.96,627.66,623.66,631.59,180297170.00
"""2014-09-17T00:00:00.000Z""",VNINDEX,630.48,625.66,625.66,632.22,189811760.00
"""2014-09-18T00:00:00.000Z""",VNINDEX,625.95,615.80,615.80,626.95,179594623.00
"""2014-09-19T00:00:00.000Z""",VNINDEX,615.86,613.29,612.40,619.80,218231910.00
"""2014-09-22T00:00:00.000Z""",VNINDEX,617.71,611.93,611.93,621.36,143308728.00
"""2014-09-23T00:00:00.000Z""",VNINDEX,611.75,610.39,610.39,615.99,144390593.00
"""2014-09-24T00:00:00.000Z""",VNINDEX,609.51,603.59,603.59,611.61,132704220.00
"""2014-09-25T00:00:00.000Z""",VNINDEX,604.31,605.10,594.28,605.50,135774325.00
"""2014-09-26T00:00:00.000Z""",VNINDEX,608.80,604.98,604.98,610.15,143917260.00
"""2014-09-29T00:00:00.000Z""",VNINDEX,605.03,599.78,599.78,605.03,127430796.00
"""2014-09-30T00:00:00.000Z""",VNINDEX,597.11,598.80,594.00,601.54,153786358.00
"""2014-10-01T00:00:00.000Z""",VNINDEX,603.50,609.27,603.44,611.74,183011333.00
"""2014-10-02T00:00:00.000Z""",VNINDEX,612.43,612.66,607.57,614.80,180214921.00
"""2014-10-03T00:00:00.000Z""",VNINDEX,613.38,611.55,610.55,615.42,190314722.00
"""2014-10-06T00:00:00.000Z""",VNINDEX,612.11,614.42,611.77,616.13,168958470.00
"""2014-10-07T00:00:00.000Z""",VNINDEX,614.16,614.08,613.47,617.01,194665550.00
"""2014-10-08T00:00:00.000Z""",VNINDEX,615.04,617.26,611.98,618.37,175390800.00
"""2014-10-09T00:00:00.000Z""",VNINDEX,622.25,624.34,622.25,626.90,163314106.00
"""2014-10-10T00:00:00.000Z""",VNINDEX,623.85,617.72,617.72,627.49,150441103.00
"""2014-10-13T00:00:00.000Z""",VNINDEX,615.77,614.22,608.27,618.29,119913646.00
"""2014-10-14T00:00:00.000Z""",VNINDEX,614.84,605.79,605.79,616.71,115310870.00
"""2014-10-15T00:00:00.000Z""",VNINDEX,603.73,604.29,596.50,606.40,124373880.00
"""2014-10-16T00:00:00.000Z""",VNINDEX,603.11,587.17,585.76,603.59,169571793.00
"""2014-10-17T00:00:00.000Z""",VNINDEX,585.95,585.28,577.79,591.85,130527827.00
"""2014-10-20T00:00:00.000Z""",VNINDEX,588.38,589.24,585.28,593.20,82444742.00
"""2014-10-21T00:00:00.000Z""",VNINDEX,590.17,600.55,588.75,601.14,87101770.00
"""2014-10-22T00:00:00.000Z""",VNINDEX,600.27,601.59,598.99,603.97,101804136.00
"""2014-10-23T00:00:00.000Z""",VNINDEX,598.87,593.53,593.11,602.02,151034338.00
"""2014-10-24T00:00:00.000Z""",VNINDEX,592.66,591.51,588.72,595.33,93570938.00
"""2014-10-27T00:00:00.000Z""",VNINDEX,590.33,580.80,580.02,591.59,104193902.00
"""2014-10-28T00:00:00.000Z""",VNINDEX,578.73,583.13,578.44,584.43,116563475.00
"""2014-10-29T00:00:00.000Z""",VNINDEX,585.68,591.20,585.68,591.83,100309342.00
"""2014-10-30T00:00:00.000Z""",VNINDEX,593.09,589.14,589.14,594.30,96454830.00
"""2014-10-31T00:00:00.000Z""",VNINDEX,591.12,600.84,588.16,600.84,132329205.00
"""2014-11-03T00:00:00.000Z""",VNINDEX,603.44,603.15,600.84,606.94,123870111.00
"""2014-11-04T00:00:00.000Z""",VNINDEX,601.55,598.39,598.39,604.47,116124729.00
"""2014-11-05T00:00:00.000Z""",VNINDEX,599.64,597.01,593.53,602.53,146011840.00
"""2014-11-06T00:00:00.000Z""",VNINDEX,599.20,597.85,596.73,601.28,93438549.00
"""2014-11-07T00:00:00.000Z""",VNINDEX,598.41,602.59,597.73,603.32,125602912.00
"""2014-11-10T00:00:00.000Z""",VNINDEX,604.75,602.12,602.12,607.50,138816769.00
"""2014-11-11T00:00:00.000Z""",VNINDEX,603.48,604.23,601.85,608.68,136607077.00
"""2014-11-12T00:00:00.000Z""",VNINDEX,605.14,604.01,603.12,606.36,126581590.00
"""2014-11-13T00:00:00.000Z""",VNINDEX,605.25,603.16,602.62,607.29,157537646.00
"""2014-11-14T00:00:00.000Z""",VNINDEX,601.69,600.36,596.95,602.51,145108258.00
"""2014-11-17T00:00:00.000Z""",VNINDEX,602.40,600.93,600.93,604.63,114408771.00
"""2014-11-18T00:00:00.000Z""",VNINDEX,600.86,594.25,594.25,602.53,143921465.00
"""2014-11-19T00:00:00.000Z""",VNINDEX,594.88,588.35,588.35,597.29,162360597.00
"""2014-11-20T00:00:00.000Z""",VNINDEX,592.17,593.32,589.84,594.76,152658810.00
"""2014-11-21T00:00:00.000Z""",VNINDEX,594.71,588.03,588.03,596.02,160143220.00
"""2014-11-24T00:00:00.000Z""",VNINDEX,585.08,582.53,580.92,586.54,115957190.00
"""2014-11-25T00:00:00.000Z""",VNINDEX,583.53,585.91,583.53,588.42,114074387.00
"""2014-11-26T00:00:00.000Z""",VNINDEX,587.58,576.04,575.09,588.16,161478262.00
"""2014-11-27T00:00:00.000Z""",VNINDEX,575.63,572.89,567.36,575.82,117664958.00
"""2014-11-28T00:00:00.000Z""",VNINDEX,570.61,566.58,565.10,572.12,145679937.00
"""2014-12-01T00:00:00.000Z""",VNINDEX,566.22,568.01,565.09,571.69,123856042.00
"""2014-12-02T00:00:00.000Z""",VNINDEX,570.44,569.43,568.55,570.79,101634189.00
"""2014-12-03T00:00:00.000Z""",VNINDEX,570.48,574.88,570.44,575.95,119136054.00
"""2014-12-04T00:00:00.000Z""",VNINDEX,576.63,578.38,576.63,581.27,108387180.00
"""2014-12-05T00:00:00.000Z""",VNINDEX,578.52,578.76,578.18,582.42,106676540.00
"""2014-12-08T00:00:00.000Z""",VNINDEX,577.44,571.68,569.24,577.44,113549183.00
"""2014-12-09T00:00:00.000Z""",VNINDEX,567.55,555.31,554.51,567.55,191552910.00
"""2014-12-10T00:00:00.000Z""",VNINDEX,550.35,557.19,544.78,558.47,119404619.00
"""2014-12-11T00:00:00.000Z""",VNINDEX,549.78,550.11,547.55,557.96,95717629.00
"""2014-12-12T00:00:00.000Z""",VNINDEX,547.69,553.93,547.69,554.82,77358806.00
"""2014-12-15T00:00:00.000Z""",VNINDEX,550.80,547.93,547.93,554.35,84730943.00
"""2014-12-16T00:00:00.000Z""",VNINDEX,545.33,535.14,535.00,545.66,128015088.00
"""2014-12-17T00:00:00.000Z""",VNINDEX,535.27,518.22,513.06,536.64,171356990.00
"""2014-12-18T00:00:00.000Z""",VNINDEX,522.90,528.45,521.33,528.60,113296932.00
"""2014-12-19T00:00:00.000Z""",VNINDEX,527.61,523.09,522.10,533.30,180821470.00
"""2014-12-22T00:00:00.000Z""",VNINDEX,527.28,537.54,527.28,537.54,98812658.00
"""2014-12-23T00:00:00.000Z""",VNINDEX,535.61,537.88,532.78,543.22,110198639.00
"""2014-12-24T00:00:00.000Z""",VNINDEX,540.46,539.44,536.79,541.73,70678530.00
"""2014-12-25T00:00:00.000Z""",VNINDEX,536.21,532.01,531.52,537.47,89289563.00
"""2014-12-26T00:00:00.000Z""",VNINDEX,531.84,533.37,527.41,537.89,105294366.00
