stockcode,max_date
FPC,2011-08-10
YSC,2011-08-23
GHA,2011-08-23
DVD,2011-09-01
DCC,2011-12-14
IMT,2012-02-28
TRI,2012-04-09
BAS,2012-05-02
MCV,2012-05-10
VIA,2012-05-28
HVC,2012-05-30
S64,2012-07-12
SSS,2012-07-12
AGC,2012-07-16
HBB,2012-08-16
DLV,2012-09-07
SDS,2012-09-13
CSG,2012-10-03
SME,2012-10-25
PHT,2013-01-23
VFMVFA,2013-03-08
HPR,2013-05-02
SVS,2013-05-09
TLC,2013-05-16
VCH,2013-05-20
AVS,2013-06-04
FBT,2013-06-14
THV,2013-07-03
CLS,2013-07-18
GFC,2013-07-18
MIH,2013-07-30
AGD,2013-08-27
PRUBF1,2013-09-03
TAS,2013-09-20
DHL,2013-09-20
CIC,2013-09-20
PVF,2013-09-23
VFMVF1,2013-09-24
SEL,2013-09-30
GBS,2013-10-22
MCL,2013-10-22
DHI,2013-10-24
VFMVF4,2013-11-26
KBT,2013-11-28
PFV,2013-12-02
BXD,2013-12-05
RHC,2013-12-10
CTV,2013-12-19
S91,2014-01-06
I40,2014-02-12
NIS,2014-03-17
HHL,2014-05-07
CLP,2014-05-14
VCV,2014-05-19
NVC,2014-05-23
REM,2014-06-05
HPL,2014-06-09
NSN,2014-07-07
HTB,2014-07-07
NSP,2014-07-14
MAFPF1,2014-08-20
SNG,2014-10-17
NLC,2014-11-26
SKS,2014-12-01
SHV,2014-12-16
ALP,2014-12-30
ASIAGF,2014-12-30
DBF,2015-01-16
SBC,2015-02-11
NHW,2015-02-24
NVN,2015-05-04
CTM,2015-06-11
TSM,2015-06-11
MAX,2015-06-26
SEC,2015-09-25
NHS,2015-10-27
HPC,2015-11-16
VTF,2015-12-14
SDF,2016-03-08
JSC,2016-04-27
HPS,2016-05-27
KLS,2016-07-20
KSS,2016-08-11
BAM,2016-11-09
DLC,2016-11-10
DNF,2016-11-18
NBS,2017-07-06
NHN,2017-07-13
BGM,2017-08-09
MKT,2017-08-24
BHS,2017-08-29
E1SSHN30,2017-08-30
D26,2017-09-19
TIC,2017-10-11
HBI,2017-11-10
KSC,2017-11-30
TNY,2018-01-05
SFT,2018-01-30
BCI,2018-02-22
SCH,2018-05-24
MMC,2018-06-27
MNC,2018-06-28
MLN,2018-06-28
VNN,2018-07-26
KSA,2018-08-01
DGL,2018-09-04
FSC,2018-10-25
PPG,2018-12-19
TTR,2019-02-12
S33,2019-02-15
HRG,2019-02-28
DVH,2019-03-12
TBN,2019-04-11
CZC,2019-05-02
SLC,2019-05-24
CER,2019-06-13
IDN,2019-07-18
KGU,2019-07-18
CGP,2019-08-14
CMWG1901,2019-09-05
CHPG1901,2019-09-06
CPNJ1901,2019-09-06
CFPT1901,2019-09-09
CHPG1903,2019-09-10
CMBB1901,2019-09-12
CHPG1904,2019-09-26
CFPT1902,2019-09-26
HD3,2019-10-04
HHA,2019-10-31
CVRE1901,2019-11-12
CHPG1906,2019-11-12
CVIC1901,2019-11-12
CMSN1901,2019-11-12
CREE1901,2019-11-15
CFPT1904,2019-11-15
NPH,2019-11-27
VT8,2019-11-27
CMWG1905,2019-12-05
CHPG1902,2019-12-09
CMWG1902,2019-12-09
CVNM1901,2019-12-11
CMWG1906,2019-12-12
CMBB1902,2019-12-13
CMWG1903,2019-12-24
CHPG1905,2019-12-26
SDI,2019-12-26
CMWG1904,2019-12-26
CFPT1903,2019-12-26
CDPM1901,2020-01-07
CMBB1906,2020-01-07
CREE1904,2020-01-07
CSTB1901,2020-01-07
CFPT1907,2020-01-07
CTCB1901,2020-01-15
CHPG1908,2020-01-20
CPNJ1902,2020-01-20
CREE1902,2020-01-20
CMBB1904,2020-01-20
VEE,2020-01-21
CVHM1901,2020-02-05
CNVL1901,2020-02-05
HST,2020-02-07
GTC,2020-02-11
CSBT1901,2020-02-12
CVJC1901,2020-02-24
CVNM1906,2020-03-03
CVPB1901,2020-03-03
CMSN1903,2020-03-13
CVRE1904,2020-03-13
CVHM1903,2020-03-13
BTC,2020-03-16
CVNM1902,2020-03-24
CMBB1905,2020-04-06
CVNM1904,2020-04-06
CVRE1902,2020-04-06
CMWG1907,2020-04-06
CVPB2002,2020-04-06
CFPT1906,2020-04-06
CHDB2002,2020-04-08
CVNM1903,2020-04-20
CFPT1905,2020-04-20
CMBB1903,2020-04-20
CVJC1902,2020-04-20
CVIC1902,2020-04-20
CHPG1907,2020-04-20
CVHM1902,2020-04-20
CREE1903,2020-04-20
CPNJ2001,2020-04-22
CMWG2003,2020-04-22
NPS,2020-04-22
CVNM1905,2020-04-24
CGMD1901,2020-04-24
CHPG2003,2020-04-28
CHDB2004,2020-05-12
CVPB2004,2020-05-12
CTCB2002,2020-05-12
CVIC1903,2020-05-13
CVRE1903,2020-05-13
CHPG1909,2020-05-13
CMSN1902,2020-05-13
VT1,2020-05-25
AFC,2020-05-26
CTCB1902,2020-06-03
CMWG2004,2020-06-11
CHPG2004,2020-06-11
DCD,2020-06-12
CFPT1908,2020-06-15
CREE1905,2020-06-15
FDT,2020-06-15
CROS2001,2020-06-17
CHDB2001,2020-06-17
CDPM2001,2020-06-17
CSTB2001,2020-06-17
CGMD2001,2020-06-18
CFPT2001,2020-06-18
CVPB2001,2020-06-18
CVRE2002,2020-06-18
CMWG2001,2020-06-18
CVNM2001,2020-06-18
CMBB2001,2020-06-18
CTCB2001,2020-06-18
CREE2001,2020-06-18
BDF,2020-06-25
CHPG2001,2020-06-26
CFPT2005,2020-06-29
DKP,2020-06-29
CREE2002,2020-06-29
CMBB2004,2020-06-29
GGS,2020-07-01
HFT,2020-07-06
CMWG2002,2020-07-08
CNH,2020-07-13
CVIC2002,2020-07-14
CHPG2007,2020-07-14
VPK,2020-07-14
CVRE2004,2020-07-14
CMSN2003,2020-07-14
X18,2020-07-16
CVPB2003,2020-07-20
CFPT2002,2020-07-20
CVC,2020-07-21
TCS,2020-08-03
TND,2020-08-03
CMBB2002,2020-08-06
CFPT2004,2020-08-06
MSC,2020-08-07
CTCB2004,2020-08-14
CPNJ2004,2020-08-14
CVPB2005,2020-08-14
CVNM2003,2020-09-01
CMSN2004,2020-09-01
WTN,2020-09-03
CHPG2006,2020-09-14
CMSN2002,2020-09-14
CSTB2003,2020-09-14
CVRE2001,2020-09-17
DFS,2020-09-23
CPNJ2002,2020-09-29
CHPG2005,2020-09-29
CMWG2005,2020-09-29
CVNM2006,2020-10-01
CVHM2004,2020-10-01
CVIC2003,2020-10-01
CHDB2005,2020-10-01
CVJC2003,2020-10-01
CHDB2006,2020-10-06
CHPG2011,2020-10-16
DTN,2020-10-20
CREE2004,2020-10-21
CFPT2007,2020-10-21
CMWG2009,2020-10-21
CTCB2003,2020-10-22
CPNJ2003,2020-10-22
CMWG2006,2020-10-22
CMBB2005,2020-10-22
BDP,2020-10-26
CMSN2005,2020-10-27
CMBB2006,2020-10-27
CREE2003,2020-10-27
BM9,2020-10-27
CFPT2006,2020-10-27
CVHM2003,2020-10-27
CMWG2008,2020-10-27
CVRE2006,2020-10-27
CPNJ2005,2020-10-27
CVJC2002,2020-10-27
CTCB2006,2020-10-27
CVNM2005,2020-10-27
CVPB2007,2020-10-27
CHPG2009,2020-10-27
KTU,2020-10-29
CSTB2005,2020-10-30
CMBB2003,2020-11-05
CFPT2003,2020-11-05
CSTB2008,2020-11-18
CVPB2009,2020-11-18
CPNJ2007,2020-11-18
CTCB2005,2020-11-26
CVNM2004,2020-11-26
CHPG2008,2020-11-26
CVHM2002,2020-11-26
CSTB2004,2020-11-26
CVRE2005,2020-11-26
CVPB2006,2020-11-26
CMWG2007,2020-11-26
BDC,2020-11-27
CHPG2013,2020-11-27
CMSN2008,2020-12-03
CVNM2009,2020-12-03
KDF,2020-12-10
CHDB2003,2020-12-14
CHPG2002,2020-12-14
CVJC2001,2020-12-14
CSBT2001,2020-12-14
CCTD2001,2020-12-14
CVRE2003,2020-12-14
CDPM2002,2020-12-14
