stockcode,n_quarters_2014_2025,first_quarter,last_quarter,n_gaps
ANV,48,20141.0,20254.0,0
BMP,48,20141.0,20254.0,0
CII,48,20141.0,20254.0,0
DIG,48,20141.0,20254.0,0
CTD,48,20141.0,20254.0,0
CMG,48,20141.0,20254.0,0
VCG,48,20141.0,20254.0,0
VHC,48,20141.0,20254.0,0
VSC,48,20141.0,20254.0,0
DBC,48,20141.0,20254.0,0
DXG,48,20141.0,20254.0,0
DPM,48,20141.0,20254.0,0
KDH,48,20141.0,20254.0,0
KDC,48,20141.0,20254.0,0
HSG,48,20141.0,20254.0,0
HT1,48,20141.0,20254.0,0
IMP,48,20141.0,20254.0,0
HDG,48,20141.0,20254.0,0
HDC,48,20141.0,20254.0,0
HAG,48,20141.0,20254.0,0
GMD,48,20141.0,20254.0,0
GEX,48,20141.0,20254.0,0
KBC,48,20141.0,20254.0,0
SJS,48,20141.0,20254.0,0
TLG,48,20141.0,20254.0,0
REE,48,20141.0,20254.0,0
PTB,48,20141.0,20254.0,0
PPC,48,20141.0,20254.0,0
PVD,48,20141.0,20254.0,0
PVT,48,20141.0,20254.0,0
PHR,48,20141.0,20254.0,0
PNJ,48,20141.0,20254.0,0
PC1,48,20141.0,20254.0,0
PDR,48,20141.0,20254.0,0
PAN,48,20141.0,20254.0,0
NT2,48,20141.0,20254.0,0
NLG,48,20141.0,20254.0,0
NKG,48,20141.0,20254.0,0
SBT,48,20141.0,20254.0,0
SZC,48,20141.0,20254.0,0
DGW,47,20141.0,20254.0,1
SCS,45,20144.0,20254.0,3
CTR,45,20144.0,20254.0,3
DCM,44,20151.0,20254.0,4
VGC,44,20151.0,20254.0,4
TCH,42,20152.0,20254.0,6
BWE,39,20161.0,20254.0,9
VPI,37,20163.0,20254.0,11
POW,36,20171.0,20254.0,12
VTP,36,20171.0,20254.0,12
FRT,36,20171.0,20254.0,12
KOS,33,20174.0,20254.0,15
SIP,31,20181.0,20254.0,17
HHV,26,20152.0,20254.0,22
DXS,21,20201.0,20254.0,27
EVF,17,20171.0,20212.0,31
GEE,16,20221.0,20254.0,32
BVH,0,,,48
BSI,0,,,48
DSE,0,,,48
CTS,0,,,48
FTS,0,,,48
MSB,0,,,48
HCM,0,,,48
EIB,0,,,48
OCB,0,,,48
NAB,0,,,48
VCI,0,,,48
VIX,0,,,48
VND,0,,,48
