signal_date,fill_date,ticker,detector,fill_price,window_id,days_since_buy
2015-01-23,2015-01-26,ACB,A,2567.3136997648203,3,11
2017-03-21,2017-03-22,ACB,A,4340.1024407174245,6,1
2017-06-07,2017-06-08,ACB,A,4583.148177397601,7,13
2017-09-22,2017-09-25,ACB,A,5069.239650757952,8,15
2020-12-09,2020-12-10,ACB,A,10810.374079365332,13,15
2021-03-15,2021-03-16,ACB,A,12537.031050375072,14,10
2021-05-31,2021-06-01,ACB,A,15952.808971285645,16,9
2024-05-24,2024-05-27,ACB,A,20709.92917715031,23,7
2024-09-25,2024-09-26,ACB,A,21976.712328767113,25,1
2025-03-07,2025-03-10,ACB,A,22310.95890410958,26,1
2014-03-24,2014-03-25,ACB,C,2545.4114314477797,1,4
2014-07-03,2014-07-04,ACB,C,2342.247717195812,2,14
2015-01-09,2015-01-12,ACB,C,2402.155206885628,3,1
2015-10-08,2015-10-09,ACB,C,3270.3258391135687,4,1
2016-09-28,2016-09-29,ACB,C,2919.3640417452834,5,2
2017-03-21,2017-03-22,ACB,C,4340.1024407174245,6,1
2017-05-22,2017-05-23,ACB,C,4374.823260243164,7,1
2017-09-22,2017-09-25,ACB,C,5069.239650757952,8,15
2019-07-09,2019-07-10,ACB,C,6571.618895641965,10,4
2020-08-25,2020-08-26,ACB,C,7920.100453979462,12,2
2020-11-26,2020-11-27,ACB,C,10322.405804949536,13,6
2021-03-15,2021-03-16,ACB,C,12537.031050375072,14,10
2021-04-01,2021-04-02,ACB,C,12837.319219246332,15,11
2021-05-20,2021-05-21,ACB,C,14038.471894731369,16,2
2022-12-05,2022-12-06,ACB,C,13841.4077839096,19,1
2023-11-15,2023-11-16,ACB,C,16322.232317584567,21,1
2024-05-16,2024-05-17,ACB,C,19832.389805237162,23,1
2024-06-13,2024-06-14,ACB,C,20639.72602739725,24,2
2024-09-25,2024-09-26,ACB,C,21976.712328767113,25,1
2025-03-07,2025-03-10,ACB,C,22310.95890410958,26,1
2025-06-13,2025-06-16,ACB,C,21000.0,27,19
2017-03-27,2017-03-28,ANV,A,1374.3616363340782,6,5
2017-06-02,2017-06-05,ANV,A,2073.887020096926,7,10
2018-04-06,2018-04-09,ANV,A,9277.915616223065,9,15
2021-06-04,2021-06-07,ANV,A,12127.994269572664,16,13
2014-03-24,2014-03-25,ANV,C,1728.239183414101,1,4
2014-06-25,2014-06-26,ANV,C,1500.839290859614,2,8
2015-10-12,2015-10-13,ANV,C,1431.9696091145486,4,3
2016-09-28,2016-09-29,ANV,C,1119.2406140205667,5,2
2017-03-21,2017-03-22,ANV,C,1364.4859838574262,6,1
2017-05-22,2017-05-23,ANV,C,1891.967106053336,7,1
2017-09-15,2017-09-18,ANV,C,2910.718624697436,8,10
2018-03-28,2018-03-29,ANV,C,8004.476217917939,9,8
2020-04-17,2020-04-20,ANV,C,6985.724699273846,11,1
2020-08-25,2020-08-26,ANV,C,7048.097241231649,12,2
2020-11-23,2020-11-24,ANV,C,9854.861629332747,13,3
2021-03-03,2021-03-04,ANV,C,10352.109394385237,14,2
2021-04-06,2021-04-07,ANV,C,10308.795129136764,15,14
2021-05-20,2021-05-21,ANV,C,10525.366455379133,16,2
2021-10-04,2021-10-05,ANV,C,13622.33642064501,17,13
2021-12-17,2021-12-20,ANV,C,15913.793034814926,18,17
2023-03-28,2023-03-29,ANV,C,14577.906154473965,20,10
2024-05-29,2024-05-30,ANV,C,15354.38230581811,23,10
2024-07-09,2024-07-10,ANV,C,16927.968070078972,24,20
2024-09-26,2024-09-27,ANV,C,15640.488808410993,25,2
2025-05-26,2025-05-27,ANV,C,15827.63578274761,27,5
2019-07-15,2019-07-16,BCM,A,24058.36105317003,10,8
2021-12-15,2021-12-16,BCM,A,60745.014785996944,18,15
2025-03-10,2025-03-11,BCM,A,79227.55417956655,26,2
2019-07-17,2019-07-18,BCM,C,25164.492595844513,10,10
2020-04-17,2020-04-20,BCM,C,21200.85456792761,11,1
2020-11-26,2020-11-27,BCM,C,39947.714922557825,13,6
2021-03-03,2021-03-04,BCM,C,56802.11212764633,14,2
2021-06-15,2021-06-16,BCM,C,51215.0191314844,16,20
2021-10-13,2021-10-14,BCM,C,43549.22655257538,17,20
2021-12-14,2021-12-15,BCM,C,56101.480114368474,18,14
2022-12-21,2022-12-22,BCM,C,75936.23216101712,19,13
2023-12-05,2023-12-06,BCM,C,65549.50427263149,21,15
2024-03-06,2024-03-07,BCM,C,64387.62236528795,22,2
2024-05-20,2024-05-21,BCM,C,61870.21156604361,23,3
2024-06-20,2024-06-21,BCM,C,62547.97601199401,24,7
2025-03-10,2025-03-11,BCM,C,79227.55417956655,26,2
2017-05-22,2017-05-23,BID,A,9718.503168941968,7,1
2014-06-26,2014-06-27,BID,C,6458.716957147771,2,9
2015-01-09,2015-01-12,BID,C,6803.181861528959,3,1
2015-10-12,2015-10-13,BID,C,12237.11572814262,4,3
2016-09-27,2016-09-28,BID,C,8391.165070726367,5,1
2017-03-21,2017-03-22,BID,C,9190.323648890775,6,1
2017-05-22,2017-05-23,BID,C,9718.503168941968,7,1
2017-09-01,2017-09-05,BID,C,11453.458070675355,8,1
2018-03-22,2018-03-23,BID,C,23725.020289256092,9,4
2019-07-04,2019-07-05,BID,C,17807.400286073826,10,1
2020-08-28,2020-08-31,BID,C,22842.61602586623,12,5
2020-11-20,2020-11-23,BID,C,23348.979435306617,13,2
2021-03-18,2021-03-19,BID,C,25834.86782859105,14,13
2021-04-02,2021-04-05,BID,C,26236.74355036913,15,12
2021-05-21,2021-05-24,BID,C,26121.921915575393,16,3
2022-12-28,2022-12-29,BID,C,30466.09644527165,19,18
2023-04-06,2023-04-07,BID,C,33186.28362788519,20,17
2023-11-15,2023-11-16,BID,C,32098.208754839772,21,1
2024-03-20,2024-03-21,BID,C,43484.97693184299,22,12
2024-09-25,2024-09-26,BID,C,41114.55525698689,25,1
2025-03-07,2025-03-10,BID,C,40845.59902200489,26,1
2015-10-16,2015-10-19,BMP,A,30710.12762347412,4,7
2016-09-28,2016-09-29,BMP,A,48181.646520565046,5,2
2020-09-15,2020-09-16,BMP,A,35771.0718651339,12,16
2020-11-27,2020-11-30,BMP,A,38481.72419980284,13,7
2021-03-02,2021-03-03,BMP,A,42131.69838456004,14,1
2024-10-17,2024-10-18,BMP,A,116218.61421788177,25,17
2014-07-04,2014-07-07,BMP,C,16812.403776612864,2,15
2015-01-09,2015-01-12,BMP,C,18600.95736986955,3,1
2015-10-16,2015-10-19,BMP,C,30710.12762347412,4,7
2016-09-28,2016-09-29,BMP,C,48181.646520565046,5,2
2017-03-21,2017-03-22,BMP,C,50093.41158357942,6,1
2017-06-13,2017-06-14,BMP,C,50794.922048489854,7,17
2019-07-04,2019-07-05,BMP,C,23877.190469976853,10,1
2020-04-17,2020-04-20,BMP,C,25788.293105734447,11,1
