date,ticker,shares,mark_price,mark_value
2015-01-16,NT2,15600,7818.336466634066,121966048.87949143
2015-01-19,NT2,15600,7685.25839911689,119890031.0262235
2015-01-20,NT2,15600,7618.719365358303,118852022.09958953
2015-01-20,HT1,11700,10864.509601837995,127114762.34150454
2015-01-21,NT2,15600,7785.066949754772,121447044.41617446
2015-01-21,HT1,11700,10595.586096842006,123968357.33305147
2015-01-22,NT2,15600,7785.066949754772,121447044.41617446
2015-01-22,HT1,11700,10541.801395842807,123339076.33136085
2015-01-23,NT2,15600,7918.145017271948,123523062.26944238
2015-01-23,HT1,11700,11025.86370483559,129002605.34657641
2015-01-26,NT2,15600,7984.684051030536,124561071.19607635
2015-01-26,HT1,11700,11402.356611829975,133407572.3584107
2015-01-27,NT2,15600,7851.60598351336,122485053.34280841
2015-01-27,HT1,11700,11294.78720983158,132149010.3550295
2015-01-27,CTG,17900,7129.048886270185,127609975.06423631
2015-01-28,NT2,15600,7718.527915996185,120409035.48954049
2015-01-28,HT1,11700,10972.079003836392,128373324.34488578
2015-01-28,CTG,17900,7617.897952757284,136360373.35435537
2015-01-28,VHC,10700,11686.19827523915,125042321.5450589
2015-01-29,NT2,15600,7785.066949754772,121447044.41617446
2015-01-29,HT1,11700,10756.9401998396,125856200.33812332
2015-01-29,CTG,17900,7658.635374964541,137089573.21186528
2015-01-29,VHC,10700,12480.977503026195,133546459.28238028
2015-01-30,NT2,15600,7585.449848479008,118333017.63627253
2015-01-30,HT1,11700,10003.954385850828,117046266.31445469
2015-01-30,CTG,17900,7332.735997306476,131255974.35178591
2015-01-30,VHC,10700,12804.776447680177,137011107.9901779
2015-02-02,NT2,15600,7452.371780961833,116256999.7830046
2015-02-02,HT1,11700,10165.30848884842,118934109.31952652
2015-02-02,CTG,17900,7332.735997306476,131255974.35178591
2015-02-02,VHC,10700,12628.158841505277,135121299.60410646
2015-02-03,NT2,15600,7352.563230323952,114699986.39305365
2015-02-03,CTG,17900,6843.886930819378,122505576.06166686
2015-02-03,VHC,10700,11803.943346022415,126302193.80243984
2015-02-24,DXG,25600,4824.023862624664,123495010.88319139
2015-02-25,DXG,25600,4772.704459830784,122181234.17166807
2015-02-26,DXG,25600,4849.683564021603,124151899.23895304
2015-02-27,DXG,25600,4772.704459830784,122181234.17166807
2015-02-27,CTG,15200,7903.059908208091,120126510.60476299
2015-03-02,DXG,25600,4747.044758433844,121524345.81590642
2015-03-02,CTG,15200,7780.847641586316,118268884.152112
2015-03-03,DXG,25600,4849.683564021603,124151899.23895304
2015-03-03,CTG,15200,7821.585063793575,118888092.96966234
2015-03-04,DXG,25600,4969.87900740728,127228902.58962637
2015-03-04,CTG,15200,7821.585063793575,118888092.96966234
2015-03-05,DXG,25600,4915.858583413723,125845979.7353913
2015-03-05,CTG,15200,7658.635374964541,116411257.69946103
2015-03-06,DXG,25600,5023.899431400838,128611825.44386145
2015-03-06,CTG,15200,7780.847641586316,118268884.152112
2015-03-09,DXG,25600,4834.827947423387,123771595.45403871
2015-03-09,CTG,15200,7617.897952757284,115792048.88191071
2015-03-09,NT2,14900,8184.301152306299,121946087.16936386
2015-03-10,DXG,25600,4807.817735426608,123080134.02692117
2015-03-10,CTG,15200,7658.635374964541,116411257.69946103
2015-03-10,NT2,14900,8017.953567909829,119467508.16185646
2015-03-11,DXG,25600,4726.787099436272,121005749.74556856
2015-03-11,CTG,15200,7658.635374964541,116411257.69946103
2015-03-11,NT2,14900,8051.223084789123,119963223.96335794
2015-03-12,DXG,25600,4726.787099436272,121005749.74556856
2015-03-12,CTG,15200,7699.3727971718,117030466.51701136
2015-03-12,NT2,14900,8250.840186064886,122937518.7723668
2015-03-13,DXG,25600,4888.848371416944,125154518.30827378
2015-03-13,CTG,15200,7780.847641586316,118268884.152112
2015-03-13,NT2,14900,8317.379219823475,123928950.37536977
2015-03-16,DXG,25600,4699.776887439493,120314288.31845103
2015-03-16,CTG,15200,7658.635374964541,116411257.69946103
2015-03-16,NT2,14900,8317.379219823475,123928950.37536977
2015-03-17,DXG,25600,4753.797311433051,121697211.1726861
2015-03-17,CTG,15200,7617.897952757284,115792048.88191071
2015-03-17,NT2,14900,8250.840186064886,122937518.7723668
2015-03-18,DXG,25600,4726.787099436272,121005749.74556856
2015-03-18,CTG,15200,7414.210841720993,112696004.7941591
2015-03-18,NT2,14900,8217.570669185592,122441802.97086532
2016-08-11,VNM,1900,63781.94304942403,121185691.79390566
2016-08-12,VNM,1900,63404.53510238601,120468616.69453342
2016-08-12,KBC,9600,12273.906905370844,117829506.29156011
2016-08-12,NKG,16300,7254.530768893875,118248851.53297016
2016-08-15,VNM,1900,63781.94304942403,121185691.79390566
2016-08-15,KBC,9600,12831.811764705884,123185392.94117649
2016-08-15,NKG,16300,7518.768644582062,122555928.9066876
2016-08-16,VNM,1900,63781.94304942403,121185691.79390566
2016-08-16,KBC,9600,12971.287979539644,124524364.60358058
2016-08-16,NKG,16300,7686.920020019999,125296796.32632598
2016-08-16,KDC,6300,19586.476688209827,123394803.1357219
2016-08-17,VNM,1900,64536.758943500055,122619841.9926501
2016-08-17,KBC,9600,12762.073657289004,122515907.10997443
2016-08-17,NKG,16300,7831.049770395374,127646111.2574446
2016-08-17,KDC,6300,19767.274934562534,124533832.08774397
2016-08-17,NT2,7800,15615.971900543243,121804580.8242373
2016-08-18,VNM,1900,65668.98278461408,124771067.29076676
2016-08-18,KBC,9600,12413.383120204604,119168477.9539642
2016-08-18,NKG,16300,7927.136270645625,129212321.21152368
2016-08-18,KDC,6300,21093.128741149045,132886711.06923898
2016-08-18,NT2,7800,15441.491767576279,120443635.78709498
2016-08-18,GMD,7900,15328.62321427782,121096123.39279479
2016-08-19,VNM,1900,67186.3167757669,127654001.87395711
2016-08-19,KBC,9600,12343.645012787725,118498992.12276216
2016-08-19,NKG,16300,7614.855144832312,124122138.8607667
2016-08-19,KDC,6300,21756.0556444423,137063150.55998647
2016-08-19,NT2,7800,15354.251701092797,119763163.26852381
2016-08-19,GMD,7900,14919.859928563747,117866893.4356536
2016-08-19,CTD,1100,101296.76735260499,111426444.08786549
2016-08-22,VNM,1900,65776.81362662493,124975945.89058737
2016-08-22,KBC,9600,12483.121227621485,119837963.78516625
2016-08-22,NKG,16300,7662.898394957437,124905243.83780622
2016-08-22,KDC,6300,20852.06441267877,131368005.79987626
2016-08-22,NT2,7800,15179.771568125834,118402218.2313815
2016-08-22,GMD,7900,14715.478285706708,116252278.45708299
2016-08-22,CTD,1100,99940.11421841831,109934125.64026015
2016-08-23,VNM,1900,67186.3167757669,127654001.87395711
2016-08-23,KBC,9600,12622.597442455244,121176935.44757034
2016-08-23,NKG,16300,7999.201145833312,130386978.67708299
2016-08-23,KDC,6300,22298.450383500418,140480237.41605264
2016-08-23,NT2,7800,15136.151534884093,118061981.97209592
2016-08-23,GMD,7900,14919.859928563747,117866893.4356536
2016-08-23,CTD,1100,99487.89650702276,109436686.15772504
2016-08-24,VNM,1900,68125.98554186155,129439372.52953695
2016-08-24,KBC,9600,12762.073657289004,122515907.10997443
2016-08-24,NKG,16300,8551.698522272249,139392685.91303766
2016-08-24,KDC,6300,22901.111204676105,144277000.58945945
2016-08-24,NT2,7800,15179.771568125834,118402218.2313815
2016-08-24,GMD,7900,14868.764517849486,117463239.69101094
2016-08-24,CTD,1100,101296.76735260499,111426444.08786549
2016-08-25,VNM,1900,68125.98554186155,129439372.52953695
2016-08-25,KBC,9600,12692.335549872125,121846421.2787724
2016-08-25,NKG,16300,9056.152648586061,147615288.1719528
2016-08-25,KDC,6300,23262.707697381516,146555058.49350354
2016-08-25,NT2,7800,15092.531501642352,117721745.71281035
2016-08-25,GMD,7900,14460.001232135412,114234009.73386975
2016-08-25,CTD,1100,102653.42048679167,112918762.53547084
