ticker,buy_date,buy_price,buy_cost_vnd,sell_date,sell_price,sell_cost_vnd,pnl_vnd,pnl_pct,exit_reason
HT1,2015-01-20,10649.370797841204,125033730.06891367,2015-02-03,10111.523787849224,532371.7274302542,-7261273.478507996,-0.05050505050505046,hard_stop
NT2,2015-01-16,7984.684051030536,124997034.9452626,2015-02-04,7286.024196565364,511478.8985988796,-11846536.377441794,-0.08749999999999995,mdm_sell
CTG,2015-01-27,6966.099197441153,125129601.7489163,2015-02-04,6640.199819783086,534868.0954835266,-6804893.0702825785,-0.04678362573099427,mdm_sell
VHC,2015-01-28,11745.070810630783,126112110.57560748,2015-02-04,11803.943346022415,568359.8721109778,-378276.64527861774,0.005012531328320758,mdm_sell
DXG,2015-02-24,4747.044758433844,121949681.02626207,2015-03-19,4753.797311433051,547637.4502770752,-800107.3038530499,0.00142247510668808,mdm_sell
CTG,2015-02-27,7984.534752622607,121789705.48870313,2015-03-19,7454.9482639282505,509918.46125268936,-8984410.33824642,-0.06632653061224487,mdm_sell
NT2,2015-03-09,8117.762118547711,121377996.86084314,2015-03-19,8184.301152306299,548757.392262131,19332.916258588433,0.0081967213114754,mdm_sell
GMD,2016-08-18,15430.81403570634,122330092.89016736,2016-08-30,14102.333357135596,501337.9508461654,-11422997.319642305,-0.08609271523178806,hard_stop
VHC,2016-08-31,18060.22716800644,125051721.94535178,2016-09-07,15899.174344484301,493669.36339622736,-15841088.331806332,-0.1196581196581197,hard_stop
VNM,2016-08-11,62272.31126127198,118731502.2663042,2016-09-19,65776.81362662493,562391.7565076351,5682051.8677755445,0.05627705627705609,mdm_sell
KBC,2016-08-12,12483.121227621485,120257396.65841432,2016-09-19,12204.168797953966,527220.0920716077,-3624596.2901278585,-0.022346368715083786,mdm_sell
NKG,2016-08-12,7374.638894206687,120627337.12448348,2016-09-19,8888.001273148124,651934.8933854103,23595148.734445527,0.20521172638436475,mdm_sell
