date,ticker,shares,mark_price,mark_value
2020-02-11,DGW,23700,5313.307028331941,125925376.57146701
2020-02-12,DGW,23700,5372.784345813269,127334988.99577448
2020-02-13,DGW,23700,5422.348777047709,128509666.0160307
2020-02-14,DGW,23700,5541.303412010364,131328890.86464563
2020-04-15,DBC,17500,7422.8987791057925,129900728.63435137
2020-04-16,DBC,17500,7937.957061737623,138914248.5804084
2020-04-17,DBC,17500,8483.31289040662,148457975.58211586
2020-04-20,DBC,17500,7892.510742681873,138118937.99693277
2020-04-21,DBC,17500,7347.154914012876,128575210.99522534
2020-04-22,DBC,17500,7847.064423626123,137323627.41345716
2020-04-23,DBC,17500,7574.386509291625,132551763.91260344
2020-04-24,DBC,17500,7513.791417217292,131491349.80130261
2020-05-15,DBC,13000,9104.412584168533,118357363.59419093
2020-05-18,DBC,13000,9740.66105094903,126628593.66233738
2020-05-19,DBC,13000,9937.595100190612,129188736.30247796
2020-05-19,VPI,5400,22965.752865204435,124015065.47210395
2020-05-20,DBC,13000,9786.10737000478,127219395.81006214
2020-05-20,VPI,5400,22911.71579963925,123723265.31805195
2020-05-21,DBC,13000,10422.355836785277,135490625.8782086
2020-05-21,VPI,5400,22938.734332421842,123869165.39507794
2020-05-22,DBC,13000,10543.546020933942,137066098.27214125
2020-05-22,VPI,5400,22884.697266856652,123577365.24102592
2020-05-25,DBC,13000,11270.687125825938,146518932.63573718
2020-05-25,VPI,5400,22803.641668508873,123139665.00994791
2020-05-26,DBC,13000,11482.769948086103,149276009.32511935
2020-05-26,VPI,5400,22695.567537378498,122556064.70184389
2020-05-27,DBC,13000,11058.604303565773,143761855.94635504
2020-05-27,VPI,5400,22533.45634068294,121680664.23968787
2020-05-28,DBC,13000,11831.191727513518,153805492.45767573
2020-05-28,VPI,5400,22749.604602943687,122847864.8558959
2020-05-29,DBC,13000,12512.886513349766,162667524.67354694
2020-06-01,DBC,13000,13376.36657540901,173892765.48031715
2020-06-02,DBC,13000,13603.59817068776,176846776.21894088
2020-06-03,DBC,13000,14542.82209783992,189056687.27191895
2020-06-04,DBC,13000,15542.641117066414,202054334.52186337
2020-06-05,DBC,13000,16360.67486006991,212688773.18090883
2020-06-08,DBC,13000,17148.41105703624,222929343.7414711
2020-06-09,DBC,13000,16724.24541251591,217415190.3627068
2020-06-10,DBC,13000,15572.938663103581,202448202.62034655
2020-06-11,DBC,13000,14497.375778784171,188465885.12419423
2020-06-12,DBC,13000,13497.556759557676,175468237.8742498
2020-06-15,DBC,13000,12876.457065795763,167393941.85534492
2020-06-16,DBC,13000,13770.234673892175,179013050.76059827
2020-06-17,DBC,13000,13936.871177096591,181179325.3022557
2020-06-18,DBC,13000,14088.358907282423,183148665.7946715
2020-06-19,DBC,13000,15073.029153490334,195949378.99537432
2020-06-22,DBC,13000,16118.294491772578,209537828.39304352
2020-06-23,DBC,13000,14997.285288397417,194964708.74916643
2020-06-24,DBC,13000,14391.334367654088,187087346.77950314
2020-06-25,DBC,13000,14845.797558211585,192995368.2567506
2020-06-26,DBC,13000,14830.648785193001,192798434.207509
2020-06-29,DBC,13000,14239.846637468256,185118006.28708732
2020-07-02,DGC,12000,11029.301549296746,132351618.59156096
2020-07-03,DGC,12000,11392.291220539422,136707494.64647308
2020-07-06,DGC,12000,11392.291220539422,136707494.64647308
2020-07-07,DGC,12000,11252.67980852301,135032157.7022761
2020-07-08,DGC,12000,11252.67980852301,135032157.7022761
2020-07-09,DGC,12000,11196.835243716443,134362022.92459732
2020-07-10,DGC,12000,11140.990678909877,133691888.14691852
2020-07-10,DGW,15500,8990.98782592737,139360311.30187425
2020-07-13,DGC,12000,11224.757526119725,134697090.31343672
2020-07-13,DGW,15500,8525.082172323637,132138773.67101637
2020-07-14,DGC,12000,11140.990678909877,133691888.14691852
2020-07-14,DGW,15500,8584.559489804966,133060672.09197697
2020-07-15,DGC,12000,11113.068396506595,133356820.75807914
2020-07-15,DGW,15500,8495.343513582973,131677824.46053608
2020-07-16,DGC,12000,11280.602090926292,135367225.0911155
2020-07-16,DGW,15500,8485.430627336085,131524174.72370932
2020-07-17,DGC,12000,11280.602090926292,135367225.0911155
2020-07-17,DGW,15500,8425.953309854758,130602276.30274875
2020-07-20,DGC,12000,11113.068396506595,133356820.75807914
2020-07-20,DGW,15500,8294.455839232778,128564065.50810806
2020-07-21,DGC,12000,11113.068396506595,133356820.75807914
2020-07-21,DGW,15500,8871.021671959934,137500835.915379
2020-07-22,DGC,12000,11113.068396506595,133356820.75807914
2020-07-22,DGW,15500,8759.75458143364,135776196.01222143
2020-07-23,DGC,12000,11113.068396506595,133356820.75807914
2020-07-24,DGC,12000,11113.068396506595,133356820.75807914
2020-07-27,DGC,12000,11113.068396506595,133356820.75807914
2020-11-23,CTR,3800,35445.19752027129,134691750.57703093
2020-11-23,DGC,8400,15652.766143907013,131483235.6088189
2020-11-23,DGW,9200,15334.628112532793,141078578.6353017
2020-11-23,KDH,7900,16534.369088229643,130621515.79701418
2020-11-23,PDR,6300,20852.69418928462,131371973.3924931
2020-11-24,CTR,3800,34770.05090083755,132126193.4231827
2020-11-24,DGC,8400,15473.598165152614,129978224.58728196
2020-11-24,DGW,9200,15172.785071767275,139589622.66025895
2020-11-24,KDH,7900,16254.652317940043,128411753.31172633
2020-11-24,PDR,6300,20827.83996498273,131215391.7793912
2020-11-25,CTR,3800,33476.019880256215,127208875.54497361
2020-11-25,DGC,8400,15180.414199918145,127515479.27931242
2020-11-25,DGW,9200,15577.39267368107,143312012.59786585
2020-11-25,KDH,7900,16130.333753366887,127429636.65159841
2020-11-25,PDR,6300,20181.630133133625,127144269.83874184
2020-11-26,CTR,3800,32519.562169391756,123574336.24368867
2020-11-26,DGC,8400,15212.990196055307,127789117.64686458
2020-11-26,DGW,9200,15799.926854733656,145359327.06354964
2020-11-26,KDH,7900,16316.81160022662,128902811.6417903
2020-11-26,PDR,6300,20231.3385817374,127457433.06494562
2020-11-27,DGC,8400,15359.582178672543,129020490.30084936
2020-11-27,DGW,9200,15719.005334350897,144614849.07602826
2020-11-27,KDH,7900,16410.050523656486,129639399.13688624
2020-11-30,DGC,8400,15327.006182535379,128746851.93329719
2020-11-30,DGW,9200,15577.39267368107,143312012.59786585
2020-11-30,KDH,7900,16627.608011659508,131358103.29211012
2020-12-01,DGC,8400,15473.598165152614,129978224.58728196
2020-12-01,DGW,9200,15638.083813968138,143870371.08850688
2020-12-01,KDH,7900,16503.289447086354,130375986.63198219
2020-12-02,DGC,8400,15962.238107210065,134082800.10056455
2020-12-02,DGW,9200,14930.020510618999,137356188.69769478
