ticker,buy_date,buy_price,buy_cost_vnd,sell_date,sell_price,sell_cost_vnd,pnl_vnd,pnl_pct,exit_reason
DGW,2020-02-11,5273.65548334439,125423084.67760542,2020-02-17,5551.216298257252,592037.2182091326,5548704.372882307,0.052631578947368314,mdm_sell
DBC,2020-04-15,7180.51841080846,126098878.94181006,2020-04-27,7604.684055328792,598868.8693571389,6384223.15708667,0.059071729957806,mdm_sell
VPI,2020-05-19,22884.697266856652,124009886.01936948,2020-05-29,22749.604602943687,552815.3918515295,-1714836.5553251058,-0.005903187721369432,hard_stop
DBC,2020-05-15,9695.21473189328,126478923.78491376,2020-06-30,14512.524551802753,848982.6862804592,61334912.702241555,0.49687499999999996,mdm_sell
DGW,2020-07-10,8624.211034792517,134143134.48792149,2020-07-23,8587.796350620278,598998.7954557538,-1631289.8487629443,-0.004222378606614834,mdm_sell
DGC,2020-07-02,11113.068396506595,133823569.6307324,2020-07-28,10526.700466037653,568441.8251660317,-8071605.863446593,-0.05276381909547742,mdm_sell
CTR,2020-11-23,34319.95315454839,130872277.36423935,2020-11-27,32688.348824250188,558970.7648946792,-7215522.596983314,-0.04754098360655741,hard_stop
PDR,2020-11-23,20976.96531079406,132617423.54310557,2020-11-27,20181.630133133625,572149.2142743319,-6045302.918638065,-0.03791469194312785,hard_stop
DGW,2020-11-23,14363.569867939688,132607349.73479277,2021-01-20,14889.55975042762,616427.7736676931,3760172.195473641,0.03661971830985907,ma50_break
DGC,2020-11-23,15734.206134249922,132629917.18804628,2021-01-29,16414.230053613246,620457.8960265815,4629157.36627841,0.043219461697725,mdm_sell
KDH,2020-11-23,16596.52837051622,131571468.13652287,2021-01-29,18834.262532833014,669558.0330421925,16549647.83981575,0.13483146067415744,mdm_sell
DIG,2021-03-01,18356.74549521341,141841654.60423923,2021-03-05,16753.294834486936,580501.6660149693,-13421786.04470478,-0.08734939759036152,hard_stop
CTR,2021-03-23,55305.760575280445,144298259.91696417,2021-03-29,53505.3695901238,626012.8242044449,-5810311.806846738,-0.03255340793489328,hard_stop
VHM,2021-02-04,71626.29150924637,129378570.3531517,2021-03-31,71110.46430701928,575994.760886848,-1955729.3614038378,-0.007201646090534981,ma50_break
HSG,2021-04-16,22018.730154571622,145832251.6867433,2021-04-23,20625.139638459495,612566.6472622454,-10318896.720172852,-0.06329113924050625,hard_stop
SJS,2021-05-20,21427.826086956517,156970611.39130428,2021-05-28,20771.47826086956,682343.0608695447,-6021163.147826046,-0.030630630630630616,hard_stop
NKG,2021-06-03,17598.451404529515,162472423.05689737,2021-06-09,16110.155069131617,666960.4198620319,-14925956.840748519,-0.08456973293768551,hard_stop
DGW,2021-02-08,16993.51928037935,134718673.12309933,2021-06-11,24276.45611482764,863028.0148821175,56202302.16915691,0.4285714285714284,ma50_break
HPG,2021-04-16,22641.59347425409,147685453.83419085,2021-07-07,28092.0183384005,821691.5363982022,34090973.82901421,0.2407262046438616,ma50_break
HSG,2021-06-29,32887.20476209667,168311780.89169642,2021-07-07,29862.653916688476,685347.9073880017,-16697593.823973209,-0.09196740395809086,hard_stop
NKG,2021-06-29,18590.648961461444,167901446.095439,2021-07-08,18433.9861893143,746576.440667212,-2742146.8322775066,-0.008426966292134724,hard_stop
PDR,2021-02-04,29327.984676228665,132437846.80167958,2021-07-14,53451.924362827434,1082401.4683472514,107013411.36269662,0.8225570202971378,mdm_sell
DGC,2021-02-08,18253.028692712778,133713474.33990207,2021-07-14,31373.78675591104,1030628.894931674,94284540.08331683,0.7188263539210075,mdm_sell
SBT,2021-09-07,18222.007549422113,160914904.26743674,2021-09-13,16639.163673307055,658910.8814629614,-15149174.823797613,-0.08686440677966106,hard_stop
SJS,2021-09-10,24439.30434782608,159411472.43478253,2021-09-20,23358.260869565212,683229.1304347813,-8266005.913043439,-0.044233807266982575,ma50_break
NKG,2021-09-16,27760.64322447449,161575271.75940883,2021-09-29,27290.65490803305,712286.0930996537,-4001759.3859167993,-0.01693002257336332,hard_stop
DGW,2021-09-07,37526.87340356423,161930335.0800498,2021-10-04,48760.514465802546,943515.9549132586,46796361.16798788,0.2993492407809112,mdm_sell
HPG,2021-09-09,29582.61522982583,160305233.66890317,2021-10-04,30901.22017224055,750899.650185436,5810455.611010373,0.04457364341085282,mdm_sell
HSG,2021-09-09,33614.628383144205,158541714.03768048,2021-10-04,36294.6101448983,767631.0045645833,11275322.638776958,0.07972665148063793,mdm_sell
CTR,2021-09-21,60111.73848467063,162869749.83729082,2021-10-04,60703.9723613669,737553.2641905844,293422.27420920134,0.009852216748768497,mdm_sell
PDR,2021-11-26,58238.66385800601,163638997.70822525,2021-12-06,58606.87458840436,738446.6198138893,-278195.4805069268,0.006322444678609033,mdm_sell
