stage,combo_id,config_name,dxy_easing_z_threshold,dxy_tightening_z_threshold,dxy_tightening_dd_threshold,eem_easing_z_threshold,eem_tightening_z_threshold,sbv_tightening_stop_loss_max_multiplier,dxy_window_days,eem_window_days,sbv_decay_days,macro_filter_enabled,cagr_train_pct,sharpe_rf3_train,max_dd_train_pct,cagr_eval_2019_pct,cagr_eval_2020_pct,cagr_eval_2021_pct,cagr_eval_2022_pct,cagr_eval_2023_pct,cagr_eval_2024_pct,sharpe_rf3_eval_2019,sharpe_rf3_eval_2020,sharpe_rf3_eval_2021,sharpe_rf3_eval_2022,sharpe_rf3_eval_2023,sharpe_rf3_eval_2024,max_dd_eval_2019_pct,max_dd_eval_2020_pct,max_dd_eval_2021_pct,max_dd_eval_2022_pct,max_dd_eval_2023_pct,max_dd_eval_2024_pct,degradation_2019,degradation_2020,degradation_2021,degradation_2022,degradation_2023,degradation_2024,median_degradation,median_eval_cagr_pct,eval_years_count,accepted,rejection_reason,error_train,error_year_2019,error_year_2020,error_year_2021,error_year_2022,error_year_2023,error_year_2024
stage1_dxy,0,stage1_dxy-c0,-1.5,0.5,2,1.0,-1.0,1.5,20,20,90,True,8.62,0.41137168792950524,-15.57,8.09,47.29,-5.77,36.95,2.08,-12.49,0.527519815872924,2.201762341580489,-0.49759311783026905,1.3443827563339925,-0.07226669831272331,-1.5573814583186754,-8.74,-15.29,-15.31,-15.33,-12.72,-12.45,0.06148491879350341,-4.486078886310906,1.6693735498839908,-3.2865429234338754,0.7587006960556845,2.448955916473318,0.4100928074245939,5.085,6,False,median_degradation 0.410 >= 0.30,,,,,,,
stage1_dxy,1,stage1_dxy-c1,-1.5,0.5,3,1.0,-1.0,1.5,20,20,90,True,9.15,0.44788418090312343,-15.72,7.41,47.29,-11.56,36.95,1.38,-12.49,0.4447235932279544,2.201762341580489,-0.8144812148594476,1.3443827563339925,-0.12730389248558494,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.19016393442622953,-4.168306010928962,2.2633879781420765,-3.038251366120219,0.8491803278688524,2.3650273224043716,0.519672131147541,4.395,6,False,median_degradation 0.520 >= 0.30,,,,,,,
stage1_dxy,2,stage1_dxy-c2,-1.5,0.5,4,1.0,-1.0,1.5,20,20,90,True,8.29,0.38191755019798657,-15.24,7.41,47.29,-11.56,35.51,1.38,-12.49,0.4447235932279544,2.201762341580489,-0.8144812148594476,1.285896435479781,-0.12730389248558494,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.10615199034981895,-4.704463208685163,2.3944511459589872,-3.2834740651387215,0.8335343787696019,2.506634499396864,0.4698431845597104,4.395,6,False,median_degradation 0.470 >= 0.30,,,,,,,
stage1_dxy,3,stage1_dxy-c3,-1.5,1.0,2,1.0,-1.0,1.5,20,20,90,True,9.46,0.47200621353391947,-15.37,9.07,47.29,-11.56,36.95,2.08,-12.49,0.6170270157757678,2.201762341580489,-0.8144812148594476,1.3443827563339925,-0.07226669831272331,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.04122621564482035,-3.998942917547568,2.221987315010571,-2.9059196617336154,0.7801268498942918,2.3202959830866807,0.41067653276955607,5.575,6,False,median_degradation 0.411 >= 0.30,,,,,,,
stage1_dxy,4,stage1_dxy-c4,-1.5,1.0,3,1.0,-1.0,1.5,20,20,90,True,9.29,0.4589516126177242,-15.72,7.75,47.29,-11.56,36.95,1.38,-12.49,0.47923690160365334,2.201762341580489,-0.8144812148594476,1.3443827563339925,-0.12730389248558494,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.16576964477933254,-4.090419806243273,2.2443487621097957,-2.9773950484391825,0.8514531754574811,2.3444564047362757,0.5086114101184068,4.5649999999999995,6,False,median_degradation 0.509 >= 0.30,,,,,,,
stage1_dxy,5,stage1_dxy-c5,-1.5,1.0,4,1.0,-1.0,1.5,20,20,90,True,8.43,0.3927243913710327,-15.24,7.75,47.29,-11.56,35.51,1.38,-12.49,0.47923690160365334,2.201762341580489,-0.8144812148594476,1.285896435479781,-0.12730389248558494,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.08066429418742582,-4.609727164887308,2.37129300118624,-3.2123368920521944,0.8362989323843416,2.481613285883749,0.4584816132858837,4.5649999999999995,6,False,median_degradation 0.458 >= 0.30,,,,,,,
stage1_dxy,6,stage1_dxy-c6,-1.5,1.5,2,1.0,-1.0,1.5,20,20,90,True,9.19,0.4519355614004433,-15.37,7.44,50.44,-11.56,36.03,2.08,-12.49,0.481002139944488,2.396613285645945,-0.8144812148594476,1.3063261074112567,-0.07226669831272331,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.19042437431991285,-4.4885745375408055,2.257889009793254,-2.920565832426551,0.7736670293797606,2.3590859630032646,0.48204570184983675,4.76,6,False,median_degradation 0.482 >= 0.30,,,,,,,
stage1_dxy,7,stage1_dxy-c7,-1.5,1.5,3,1.0,-1.0,1.5,20,20,90,True,8.88,0.4285742150231827,-15.72,6.14,50.44,-11.56,36.03,1.38,-12.49,0.33728089361245256,2.396613285645945,-0.8144812148594476,1.3063261074112567,-0.12730389248558494,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.3085585585585587,-4.680180180180179,2.3018018018018016,-3.057432432432432,0.8445945945945946,2.4065315315315314,0.5765765765765767,3.76,6,False,median_degradation 0.577 >= 0.30,,,,,,,
stage1_dxy,8,stage1_dxy-c8,-1.5,1.5,4,1.0,-1.0,1.5,20,20,90,True,9.14,0.4421834806107642,-14.1,6.14,50.44,-11.56,36.03,1.38,-12.49,0.33728089361245256,2.396613285645945,-0.8144812148594476,1.3063261074112567,-0.12730389248558494,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.32822757111597384,-4.518599562363238,2.264770240700219,-2.9420131291028446,0.8490153172866521,2.366520787746171,0.588621444201313,3.76,6,False,median_degradation 0.589 >= 0.30,,,,,,,
stage1_dxy,9,stage1_dxy-c9,-1.0,0.5,2,1.0,-1.0,1.5,20,20,90,True,9.2,0.4546406251561209,-14.23,8.09,47.29,-5.77,36.95,2.08,-12.49,0.527519815872924,2.201762341580489,-0.49759311783026905,1.3443827563339925,-0.07226669831272331,-1.5573814583186754,-8.74,-15.29,-15.31,-15.33,-12.72,-12.45,0.12065217391304342,-4.140217391304349,1.6271739130434784,-3.0163043478260874,0.7739130434782608,2.357608695652174,0.4472826086956521,5.085,6,False,median_degradation 0.447 >= 0.30,,,,,,,
stage1_dxy,10,stage1_dxy-c10,-1.0,0.5,3,1.0,-1.0,1.5,20,20,90,True,9.72,0.4913016050565525,-13.95,7.41,47.29,-11.56,36.95,1.38,-12.49,0.4447235932279544,2.201762341580489,-0.8144812148594476,1.3443827563339925,-0.12730389248558494,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.23765432098765435,-3.8652263374485596,2.1893004115226335,-2.8014403292181074,0.8580246913580246,2.2849794238683128,0.5478395061728395,4.395,6,False,median_degradation 0.548 >= 0.30,,,,,,,
stage1_dxy,11,stage1_dxy-c11,-1.0,0.5,4,1.0,-1.0,1.5,20,20,90,True,8.86,0.42439513248699035,-13.45,7.41,47.29,-11.56,35.51,1.38,-12.49,0.4447235932279544,2.201762341580489,-0.8144812148594476,1.285896435479781,-0.12730389248558494,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.16365688487584643,-4.337471783295712,2.304740406320542,-3.007900677200903,0.8442437923250564,2.4097065462753955,0.5039503386004515,4.395,6,False,median_degradation 0.504 >= 0.30,,,,,,,
stage1_dxy,12,stage1_dxy-c12,-1.0,1.0,2,1.0,-1.0,1.5,20,20,90,True,10.03,0.5157678862930463,-13.59,9.07,47.29,-11.56,36.95,2.08,-12.49,0.6170270157757678,2.201762341580489,-0.8144812148594476,1.3443827563339925,-0.07226669831272331,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.09571286141575265,-3.7148554336989035,2.152542372881356,-2.6839481555334,0.7926221335992024,2.2452642073778666,0.4441674975074775,5.575,6,False,median_degradation 0.444 >= 0.30,,,,,,,
stage1_dxy,13,stage1_dxy-c13,-1.0,1.0,3,1.0,-1.0,1.5,20,20,90,True,9.87,0.5025153662773654,-13.95,7.75,47.29,-11.56,36.95,1.38,-12.49,0.47923690160365334,2.201762341580489,-0.8144812148594476,1.3443827563339925,-0.12730389248558494,-1.5573814583186754,-8.74,-15.29,-19.68,-15.33,-12.72,-12.45,0.21479229989868281,-3.791286727456941,2.171225937183384,-2.7436676798378934,0.8601823708206686,2.265450861195542,0.5374873353596757,4.5649999999999995,6,False,median_degradation 0.537 >= 0.30,,,,,,,
