"stockcode","tradingdate","openindex","closeindex","lowestindex","highestindex","totalvol"
"VN30","2021-08-13","1477.72","1484.25","1463.48","1484.67","221635646.00"
"VN30","2021-08-16","1490.70","1500.77","1487.52","1504.03","268966625.00"
"VN30","2021-08-17","1508.41","1494.12","1488.74","1512.27","225891300.00"
"VN30","2024-08-09","1250.37","1264.84","1248.85","1265.94","178363296.00"
"VN30","2024-08-12","1267.05","1271.44","1259.60","1273.16","164092304.00"
"VN30","2021-08-20","1495.67","1450.45","1436.24","1497.03","362233528.00"
"VN30","2021-08-27","1403.99","1418.57","1391.88","1418.57","216158061.00"
"VN30","2024-08-13","1269.09","1268.72","1262.91","1272.21","165198800.00"
"VN30","2021-08-23","1443.67","1412.00","1412.00","1450.45","250637200.00"
"VN30","2024-08-14","1272.86","1270.38","1268.69","1275.26","145774096.00"
"VN30","2021-08-25","1420.74","1428.51","1411.07","1430.58","153263700.00"
"VN30","2014-09-09","678.83","664.65","659.97","678.89","110018302.00"
"VN30","2014-09-10","663.89","666.42","653.53","667.55","59546120.00"
"VN30","2014-09-11","668.19","665.09","663.84","670.39","55598660.00"
"VN30","2014-09-12","666.15","669.78","664.23","669.87","50735150.00"
"VN30","2014-09-15","670.67","668.42","668.42","674.09","100975760.00"
"VN30","2014-09-16","666.69","666.66","659.97","668.96","81080390.00"
"VN30","2014-09-17","667.79","665.66","664.33","671.30","81994170.00"
"VN30","2014-09-18","665.51","659.63","658.02","668.20","69883410.00"
"VN30","2014-09-19","658.86","654.54","654.54","662.48","146925190.00"
"VN30","2014-09-22","659.72","653.19","653.19","662.60","65923748.00"
"VN30","2014-09-23","652.88","658.31","652.76","663.41","53882256.00"
"VN30","2014-09-24","656.97","655.14","653.34","661.13","53660269.00"
"VN30","2014-09-25","653.53","653.39","642.83","653.72","56426240.00"
"VN30","2014-09-26","655.55","649.63","649.63","656.44","57387200.00"
"VN30","2014-09-29","650.08","642.98","642.98","650.08","55790948.00"
"VN30","2014-09-30","641.13","644.25","637.85","646.88","67827302.00"
"VN30","2014-10-01","648.98","655.06","648.87","655.85","72810585.00"
"VN30","2014-10-02","655.97","659.64","653.03","659.83","72089190.00"
"VN30","2014-10-03","659.05","659.25","658.04","663.54","77746089.00"
"VN30","2014-10-06","658.84","662.43","657.93","663.65","57512850.00"
"VN30","2014-10-07","661.84","659.16","658.14","662.16","61145750.00"
"VN30","2014-10-08","657.35","658.98","655.15","661.67","57090200.00"
"VN30","2014-10-09","660.90","657.11","657.11","662.75","49777310.00"
"VN30","2014-10-10","655.72","651.72","651.52","659.11","49988205.00"
"VN30","2014-10-13","650.76","651.07","646.51","653.69","44170646.00"
"VN30","2014-10-14","651.91","641.13","641.13","653.10","38194800.00"
"VN30","2014-10-15","640.12","641.63","634.34","642.63","43882610.00"
"VN30","2014-10-16","639.79","623.76","622.03","639.98","71592840.00"
"VN30","2014-10-17","623.36","624.77","613.76","627.42","63303150.00"
"VN30","2014-10-20","624.98","628.09","622.21","632.52","36053010.00"
"VN30","2014-10-21","627.96","633.81","627.11","635.36","32169210.00"
"VN30","2014-10-22","635.72","637.85","635.02","639.55","43680320.00"
"VN30","2014-10-23","636.33","630.84","630.84","638.56","66977948.00"
"VN30","2014-10-24","629.83","629.52","625.49","633.04","32082660.00"
"VN30","2014-10-27","626.19","615.15","615.15","628.64","42590092.00"
"VN30","2014-10-28","613.23","618.99","613.23","621.19","59107719.00"
"VN30","2014-10-29","620.18","628.10","620.18","628.60","45989216.00"
"VN30","2014-10-30","628.50","627.21","626.50","630.62","36336140.00"
"VN30","2014-10-31","628.53","638.78","626.64","638.78","53796420.00"
"VN30","2014-11-03","644.03","644.64","642.47","646.76","44335553.00"
"VN30","2014-11-04","641.73","639.91","639.91","644.75","35112410.00"
"VN30","2014-11-05","638.90","637.68","633.89","643.36","63197060.00"
"VN30","2014-11-06","638.17","637.56","636.17","641.39","26582600.00"
"VN30","2014-11-07","638.87","642.77","637.07","643.49","55030870.00"
"VN30","2014-11-10","644.05","642.90","642.90","647.01","56584730.00"
"VN30","2014-11-11","643.26","642.02","641.47","647.10","61305688.00"
"VN30","2014-11-12","643.07","641.89","640.58","644.76","46385010.00"
"VN30","2014-11-13","642.40","638.87","638.87","644.53","61162710.00"
"VN30","2014-11-14","638.24","637.90","632.28","638.71","66774648.00"
"VN30","2014-11-17","639.53","637.21","637.18","640.93","40445070.00"
"VN30","2014-11-18","637.12","627.84","627.84","637.61","56107291.00"
"VN30","2014-11-19","628.44","623.66","623.66","630.64","82821550.00"
"VN30","2014-11-20","627.65","628.80","624.87","630.57","79453310.00"
"VN30","2014-11-21","629.07","623.74","623.74","631.21","68964230.00"
"VN30","2014-11-24","620.57","616.39","615.45","622.24","50464120.00"
"VN30","2014-11-25","618.48","623.23","618.48","624.83","46883529.00"
"VN30","2014-11-26","624.68","616.48","615.22","625.92","72437324.00"
"VN30","2014-11-27","615.91","615.57","609.70","616.56","57185748.00"
"VN30","2014-11-28","615.19","611.15","611.15","616.98","53683770.00"
"VN30","2014-12-01","612.86","614.44","612.68","617.19","55425058.00"
"VN30","2014-12-02","615.32","613.57","613.57","616.16","47479621.00"
"VN30","2014-12-03","614.72","619.29","614.72","621.05","48781330.00"
"VN30","2014-12-04","619.43","624.31","619.43","626.10","45310750.00"
"VN30","2014-12-05","625.53","624.67","623.13","628.13","38461100.00"
"VN30","2014-12-08","622.90","619.87","617.10","623.85","46869143.00"
"VN30","2014-12-09","617.02","603.85","603.13","617.02","87421990.00"
"VN30","2014-12-10","601.92","610.81","597.97","611.51","50248789.00"
"VN30","2014-12-11","604.88","604.80","601.84","612.80","41755226.00"
"VN30","2014-12-12","603.35","609.33","603.35","609.66","32071210.00"
"VN30","2014-12-15","607.56","603.92","603.92","610.59","35623570.00"
"VN30","2014-12-16","601.75","591.78","591.28","602.00","59284638.00"
"VN30","2014-12-17","592.34","569.71","563.92","593.39","76587550.00"
"VN30","2014-12-18","573.93","578.88","571.19","579.73","55330530.00"
"VN30","2014-12-19","578.40","570.61","570.61","582.59","128797420.00"
"VN30","2014-12-22","577.08","587.56","576.98","587.64","52317617.00"
"VN30","2014-12-23","589.20","589.61","584.62","594.41","68422359.00"
"VN30","2014-12-24","591.61","591.19","588.17","593.55","32382730.00"
"VN30","2014-12-25","588.63","585.19","584.10","589.79","43533043.00"
"VN30","2014-12-26","585.45","582.45","577.98","587.46","49175756.00"
"VN30","2014-12-29","583.36","583.36","578.53","589.18","55739490.00"
"VN30","2014-12-30","582.65","591.18","578.33","591.18","39986549.00"
"VN30","2014-12-31","592.02","601.66","591.84","601.93","62140540.00"
"VN30","2015-01-05","600.48","599.69","599.69","604.99","52052371.00"
"VN30","2015-01-06","594.37","606.37","593.46","606.45","57176551.00"
"VN30","2015-01-07","606.49","607.65","606.49","611.78","53995280.00"
"VN30","2015-01-08","607.52","606.85","605.37","609.85","36922317.00"
"VN30","2015-01-09","608.26","618.41","608.26","619.52","56993397.00"
"VN30","2015-01-12","618.04","615.73","615.49","624.18","81434802.00"
"VN30","2015-01-13","614.22","619.39","614.06","619.58","48778150.00"
"VN30","2015-01-14","620.56","616.84","611.90","621.75","48366670.00"
"VN30","2015-01-15","617.12","617.62","613.80","619.05","56436489.00"
"VN30","2015-01-16","616.89","614.72","613.40","617.52","46384030.00"
"VN30","2015-01-19","616.91","611.64","609.77","618.29","37871790.00"
"VN30","2015-01-20","611.46","609.19","608.32","614.50","31179990.00"
"VN30","2015-01-21","611.50","606.53","606.53","611.63","33013220.00"
"VN30","2015-01-22","607.68","610.31","604.35","613.35","37376271.00"
"VN30","2015-01-23","611.79","615.16","611.79","618.90","104393833.00"
"VN30","2015-01-26","618.14","612.64","612.64","619.21","33649130.00"
"VN30","2015-01-27","613.03","609.98","606.75","616.69","56866870.00"
"VN30","2015-01-28","610.54","613.53","608.41","614.95","43404800.00"
"VN30","2015-01-29","613.87","613.90","610.57","615.63","40355329.00"
"VN30","2015-01-30","613.41","606.54","604.98","613.47","34096980.00"
"VN30","2015-02-02","606.02","598.46","598.46","609.79","44364758.00"
"VN30","2015-02-03","600.02","585.47","585.47","601.33","39455200.00"
"VN30","2015-02-04","585.32","588.83","581.24","588.83","46468730.00"
"VN30","2015-02-05","587.54","591.28","587.47","593.56","31945500.00"
"VN30","2015-02-06","592.40","595.69","592.40","597.06","24728420.00"
"VN30","2015-02-09","595.69","594.77","594.77","598.82","29376660.00"
"VN30","2015-02-10","594.79","595.53","594.72","599.43","26402935.00"
"VN30","2015-02-11","596.70","607.33","596.41","607.33","37316250.00"
"VN30","2015-02-12","608.89","613.36","608.89","614.69","38099420.00"
"VN30","2015-02-13","615.33","617.20","614.96","618.46","30585560.00"
"VN30","2015-02-24","619.48","624.17","618.73","624.17","28007509.00"
"VN30","2015-02-25","623.69","619.44","619.23","627.94","38759426.00"
"VN30","2015-02-26","621.00","623.84","618.09","623.99","46971800.00"
"VN30","2015-02-27","625.35","618.39","618.39","625.35","31762152.00"
"VN30","2015-03-02","619.20","617.05","615.39","621.04","42235614.00"
